Toiec,What is the capital of France?,Paris,True,Berlin,False,London,False
Toiec,What is the capital of Germany?,Berlin,True,Paris,False,London,False
Toiec,What is the capital of England?,London,True,Paris,False,Berlin,False
Toiec,Who wrote "Romeo and Juliet"?,William Shakespeare,True,Charles Dickens,False,Jane Austen,False
Toiec,What is the currency of Japan?,Yen,True,Dollar,False,Euro,False
Toiec,How many continents are there in the world?,7,True,5,False,6,False
Toiec,Who painted the Mona Lisa?,Leonardo da Vinci,True,Vincent van Gogh,False,Pablo Picasso,False
Toiec,Which planet is known as the Red Planet?,Mars,True,Venus,False,Jupiter,False
Toiec,Which is the largest ocean on Earth?,Pacific,True,Atlantic,False,Indian,False
Toiec,What is the tallest mountain in the world?,Mount Everest,True,K2,False,Kangchenjunga,False
Toiec,Who is known as the father of computers?,Charles Babbage,True,Alan Turing,False,Steve Jobs,False
Toiec,What is the chemical symbol for water?,H2O,True,CO2,False,O2,False
Toiec,Which country is famous for the pyramids?,Egypt,True,Greece,False,Italy,False
Toiec,What year did the Titanic sink?,1912,True,1908,False,1920,False
Toiec,Who is the author of "Pride and Prejudice"?,Jane Austen,True,Emily Brontë,False,Charlotte Brontë,False
Toiec,What is the capital of Australia?,Canberra,True,Sydney,False,Melbourne,False
Toiec,What is the main ingredient in guacamole?,Avocado,True,Tomato,False,Onion,False
Toiec,Who invented the telephone?,Alexander Graham Bell,True,Thomas Edison,False,Albert Einstein,False
Toiec,Which language is spoken in Brazil?,Portuguese,True,Spanish,False,English,False
Toiec,Who discovered penicillin?,Alexander Fleming,True,Marie Curie,False,Isaac Newton,False
